msgtype,time,raw
GPS,2026-03-31T16:15:00.6006259+03:00,"GPS;57814626;0;6;220518600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87762;0;0;1"
GPS,2026-03-31T16:15:00.8006259+03:00,"GPS;58014626;0;6;220518800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86536;0;0;1"
GPS,2026-03-31T16:15:01.0006259+03:00,"GPS;58214626;0;6;220519000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86536;0;0;1"
GPS,2026-03-31T16:15:01.2006259+03:00,"GPS;58414626;0;6;220519200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8718;0;0;1"
GPS,2026-03-31T16:15:01.4006259+03:00,"GPS;58614626;0;6;220519400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87024;0;0;1"
GPS,2026-03-31T16:15:01.6006259+03:00,"GPS;58814626;0;6;220519600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86072;0;0;1"
GPS,2026-03-31T16:15:01.8006259+03:00,"GPS;59014626;0;6;220519800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86072;0;0;1"
GPS,2026-03-31T16:15:02.0006259+03:00,"GPS;59214626;0;6;220520000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.87668;0;0;1"
GPS,2026-03-31T16:15:02.2006259+03:00,"GPS;59414626;0;6;220520200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8768;0;0;1"
GPS,2026-03-31T16:15:02.4006259+03:00,"GPS;59614626;0;6;220520400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86127;0;0;1"
GPS,2026-03-31T16:15:02.6006259+03:00,"GPS;59814626;0;6;220520600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86127;0;0;1"
GPS,2026-03-31T16:15:02.8006259+03:00,"GPS;60014626;0;6;220520800;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29048;0;0;1"
GPS,2026-03-31T16:15:03.0006259+03:00,"GPS;60214626;0;6;220521000;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29048;0;0;1"
GPS,2026-03-31T16:15:03.2006259+03:00,"GPS;60414626;0;6;220521200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86426;0;0;1"
GPS,2026-03-31T16:15:03.4006259+03:00,"GPS;60614626;0;6;220521400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86426;0;0;1"
GPS,2026-03-31T16:15:03.6006259+03:00,"GPS;60814626;0;6;220521600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.86426;0;0;1"
GPS,2026-03-31T16:15:03.8006259+03:00,"GPS;61014626;0;6;220521800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.89102;0;0;1"
GPS,2026-03-31T16:15:04.0006259+03:00,"GPS;61214626;0;6;220522000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.892;0;0;1"
GPS,2026-03-31T16:15:04.2006259+03:00,"GPS;61414626;0;6;220522200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8696;0;0;1"
GPS,2026-03-31T16:15:04.4006259+03:00,"GPS;61614626;0;6;220522400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8696;0;0;1"
GPS,2026-03-31T16:15:04.6006259+03:00,"GPS;61814626;0;6;220522600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8696;0;0;1"
